N,k,outlier_percent,z,radius,time
500,10,0.0,0,1.247771,0.0285
500,10,0.1,50,0.764342,0.0411
500,10,0.2,100,0.570042,0.0514
500,20,0.0,0,0.923225,0.0374
500,20,0.1,50,0.579130,0.0656
500,20,0.2,100,0.473873,0.0791
1000,10,0.0,0,1.271669,0.0898
1000,10,0.1,100,0.717649,0.1506
1000,10,0.2,200,0.573661,0.1982
1000,20,0.0,0,0.972016,0.1111
1000,20,0.1,100,0.593045,0.2490
1000,20,0.2,200,0.466928,0.2980
5000,10,0.0,0,1.580256,1.8323
5000,10,0.1,500,0.682403,4.3124
5000,10,0.2,1000,0.552481,5.8135
5000,20,0.0,0,1.192272,2.5819
5000,20,0.1,500,0.565512,7.3616
5000,20,0.2,1000,0.456435,9.4376
10000,10,0.0,0,1.655506,8.1332
10000,10,0.1,1000,0.695633,17.0375
10000,10,0.2,2000,0.559003,21.6553
10000,20,0.0,0,1.291312,8.2668
10000,20,0.1,1000,0.581984,28.2295
10000,20,0.2,2000,0.460847,37.7078
20000,10,0.0,0,1.861006,29.5751
20000,10,0.1,2000,0.671218,76.7774
20000,10,0.2,4000,0.549262,97.7382
20000,20,0.0,0,1.391069,32.8511
20000,20,0.1,2000,0.576121,120.5490
20000,20,0.2,4000,0.455772,168.0604
