N,k,outlier_percent,z,algorithm,radius,time,soi_ratio
2000,50,0.1,200,SimplifiedDRG,1.475116,0.006380,0.0228
2000,50,0.1,200,OverclusterDRG,1.362989,0.798231,nan
2000,50,0.2,400,SimplifiedDRG,1.133940,0.005903,0.0116
2000,50,0.2,400,OverclusterDRG,1.042502,1.502892,nan
2000,10,0.1,200,SimplifiedDRG,2.407637,0.001212,0.0255
2000,10,0.1,200,OverclusterDRG,2.042213,0.139877,nan
2000,10,0.2,400,SimplifiedDRG,1.798924,0.001190,0.0100
2000,10,0.2,400,OverclusterDRG,1.656419,0.276695,nan
2000,20,0.1,200,SimplifiedDRG,1.870003,0.002380,0.0365
2000,20,0.1,200,OverclusterDRG,1.696165,0.294386,nan
2000,20,0.2,400,SimplifiedDRG,1.535022,0.002369,0.0099
2000,20,0.2,400,OverclusterDRG,1.332438,0.572331,nan
