N,k,Outlier_Percent,z,Radius,Time
500,10,0,0,4.216912,0.002172
500,10,0.1,50,3.113489,0.000109
500,10,0.2,100,2.925808,0.000211
500,20,0,0,2.795321,0.000201
500,20,0.1,50,2.445430,0.000184
500,20,0.2,100,2.299273,0.000178
500,50,0,0,1.801992,0.000420
500,50,0.1,50,1.420337,0.000411
500,50,0.2,100,1.319332,0.000401
1000,10,0,0,4.417069,0.000148
1000,10,0.1,100,3.238390,0.000148
1000,10,0.2,200,3.011035,0.000136
1000,20,0,0,3.138761,0.000255
1000,20,0.1,100,2.497824,0.000268
1000,20,0.2,200,2.322045,0.000274
1000,50,0,0,2.035715,0.000623
1000,50,0.1,100,1.697067,0.000674
1000,50,0.2,200,1.580697,0.000768
5000,10,0,0,5.379860,0.000720
5000,10,0.1,500,4.603306,0.000530
5000,10,0.2,1000,4.314392,0.000819
5000,20,0,0,3.869212,0.001399
5000,20,0.1,500,2.860669,0.001022
5000,20,0.2,1000,2.681014,0.001127
5000,50,0,0,2.693743,0.002414
5000,50,0.1,500,2.194468,0.002275
5000,50,0.2,1000,2.071277,0.002371
10000,10,0,0,5.489128,0.000977
10000,10,0.1,1000,3.532571,0.000974
10000,10,0.2,2000,3.119671,0.001147
10000,20,0,0,4.363227,0.002960
10000,20,0.1,1000,3.247583,0.027826
10000,20,0.2,2000,2.932245,0.002113
10000,50,0,0,3.103851,0.006766
10000,50,0.1,1000,2.483464,0.004569
10000,50,0.2,2000,2.317487,0.004695
15000,10,0,0,5.943737,0.001408
15000,10,0.1,1500,3.615555,0.001417
15000,10,0.2,3000,3.164339,0.001378
15000,20,0,0,4.503293,0.002754
15000,20,0.1,1500,3.279368,0.002829
15000,20,0.2,3000,2.981122,0.002704
15000,50,0,0,3.225611,0.006837
15000,50,0.1,1500,2.464515,0.008224
15000,50,0.2,3000,2.296019,0.006897
20000,10,0,0,6.212910,0.001810
20000,10,0.1,2000,3.810891,0.001923
20000,10,0.2,4000,3.512093,0.002403
20000,20,0,0,4.806502,0.003476
20000,20,0.1,2000,3.453686,0.003836
20000,20,0.2,4000,3.225080,0.003565
20000,50,0,0,3.293952,0.008788
20000,50,0.1,2000,2.714911,0.008957
20000,50,0.2,4000,2.536514,0.008922
500,10,0.1,50,2.347544,0.002340
500,10,0.2,100,1.794867,0.000163
500,20,0.1,50,1.804958,0.000366
500,20,0.2,100,1.439944,0.000405
500,50,0.1,50,1.353229,0.000714
500,50,0.2,100,1.071111,0.000909
1000,10,0.1,100,2.429189,0.000271
1000,10,0.2,200,1.976952,0.000269
1000,20,0.1,100,1.866454,0.000503
1000,20,0.2,200,1.456671,0.000514
1000,50,0.1,100,1.393470,0.001164
1000,50,0.2,200,1.155639,0.001299
5000,10,0.1,500,2.459514,0.000799
5000,10,0.2,1000,1.910563,0.000881
5000,20,0.1,500,1.950309,0.001764
5000,20,0.2,1000,1.586505,0.001969
5000,50,0.1,500,1.480460,0.004802
5000,50,0.2,1000,1.195763,0.004497
10000,10,0.1,1000,2.291372,0.001786
10000,10,0.2,2000,1.793847,0.001837
10000,20,0.1,1000,1.842888,0.003493
10000,20,0.2,2000,1.475967,0.003713
10000,50,0.1,1000,1.476463,0.009419
10000,50,0.2,2000,1.147963,0.023226
15000,10,0.1,1500,2.375994,0.014221
15000,10,0.2,3000,1.809641,0.003005
15000,20,0.1,1500,2.021746,0.009032
15000,20,0.2,3000,1.482378,0.005928
15000,50,0.1,1500,1.522736,0.014981
15000,50,0.2,3000,1.179058,0.016282
20000,10,0.1,2000,2.333395,0.003532
20000,10,0.2,4000,1.926569,0.004335
20000,20,0.1,2000,1.938769,0.007218
20000,20,0.2,4000,1.553954,0.008274
20000,50,0.1,2000,1.520910,0.018744
20000,50,0.2,4000,1.201830,0.019528
