N,k,outlier_percent,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time
500,10,0.1,50,1.1799706,0.0652,3.663645,0.000674,3.06409605,12.1453,3.46448446,0.010157,3.43687558,0.014277,3.3053267,0.123897
500,10,0.2,100,1.0127403,0.0747,3.3707025,0.000381,2.82576596,7.4423,3.1787432,0.015761,3.13828206,0.022392,2.89988708,0.258179
500,20,0.1,50,0.9738611,0.103,3.2576451,0.000391,2.51881973,8.9999,2.97718413,0.023149,2.94118071,0.032399,2.7910111,0.316898
500,20,0.2,100,0.8915574,0.1079,3.0298038,0.000378,2.37458694,5.5148,2.68757379,0.0151,2.65472412,0.021326,2.5400877,0.565521
500,50,0.1,50,0.8065296,0.2007,2.5610118,0.000835,1.92809367,6.0556,2.35156593,0.031888,2.32224154,0.042718,2.26575875,0.707309
500,50,0.2,100,0.7047358,0.2309,2.3765895,0.00084,1.85277018,3.7107,2.15132696,0.03265,2.1333127,0.044098,2.03371787,1.283852
1000,10,0.1,100,1.2043093,0.2932,4.1955895,0.000354,3.26985201,101.3929,3.69953823,0.0105,3.66236234,0.014351,3.5335629,0.39005
1000,10,0.2,200,1.0813181,0.3331,3.9183872,0.00037,2.95431287,62.1305,3.3240873,0.012108,3.29543281,0.016283,3.017694,0.803425
1000,20,0.1,100,1.0139564,0.4927,3.5475535,0.000645,2.70381481,75.1337,3.1918106,0.02394,3.15029407,0.032344,3.01051307,0.773549
1000,20,0.2,200,0.8848265,0.511,3.3327417,0.00069,2.53542238,46.0396,2.87123315,0.028449,2.83791661,0.040107,2.66228032,2.4614
1000,50,0.1,100,0.8308611,0.8224,2.7702041,0.001554,2.19017075,50.554,2.66675115,0.083465,2.64038587,0.11209,2.42882609,3.004075
1000,50,0.2,200,0.7183427,1.2703,2.6403859,0.001739,2.14111113,30.9779,2.48629873,0.051202,2.46563339,0.070433,2.1460166,5.138078
5000,10,0.1,500,0.9659631,5.9207,3.7873158,0.001688,2.92338653,13992.4239,3.31568635,0.036233,3.28329372,0.048939,3.03159928,6.513967
5000,10,0.2,1000,0.8298883,5.838,3.4504707,0.00105,2.71058862,8574.1366,3.04175512,0.035731,3.01178455,0.047973,2.63067961,12.896186
5000,20,0.1,500,0.8324663,9.5018,3.3877864,0.001924,2.60553489,10368.595,3.0846108,0.029997,3.04689741,0.041901,2.65219831,6.585956
5000,20,0.2,1000,0.7166982,9.2229,3.1467907,0.002007,2.54152786,6353.5632,2.88012819,0.091643,2.84646773,0.129897,2.30117011,18.074455
5000,50,0.1,500,0.7029837,22.5185,2.8109274,0.004469,2.10042963,6976.5468,2.57395174,0.115237,2.54010916,0.161987,2.20283723,24.625381
5000,50,0.2,1000,0.6165809,31.3211,2.6439135,0.008146,2.06255473,4275.0181,2.40558934,0.134161,2.37980819,0.185984,1.91359282,36.993644
10000,10,0.1,1000,0.9539869,33.4881,3.8039231,0.002158,2.92870979,116813.0688,3.31885415,0.087471,3.29017186,0.11806,2.88239002,20.502054
10000,10,0.2,2000,0.7988394,34.5479,3.4130905,0.004308,2.70141701,71579.5355,3.05054446,0.073289,3.01353979,0.098635,2.48691249,35.382438
10000,20,0.1,1000,0.8092832,50.9912,3.3942466,0.018259,2.61376686,86560.2279,3.08093673,0.070472,3.04270601,0.100624,2.53183651,33.92853
10000,20,0.2,2000,0.7031646,74.1228,3.1543238,0.006739,2.5402661,53041.5044,2.8684687,0.073907,2.83622742,0.101865,2.21199226,58.863562
10000,50,0.1,1000,0.6750548,113.1294,2.7616487,0.008732,2.10597885,58242.3634,2.56753306,0.380886,2.53552008,0.528369,2.1321764,93.509381
10000,50,0.2,2000,0.5852162,137.8068,2.5867033,0.008845,2.07048039,35689.1687,2.40799013,0.253536,2.38187814,0.356538,1.85834157,190.432418
15000,10,0.1,1500,1.0402999,68.7443,4.2003736,0.003214,3.20189892,404195.9748,3.63307232,0.068046,3.59305859,0.096383,3.11762762,36.699704
15000,10,0.2,3000,0.9114086,81.9573,3.7990334,0.003081,2.95261973,247679.1375,3.31691976,0.171165,3.28224206,0.238764,2.71866512,81.082744
15000,20,0.1,1500,0.8798326,110.9133,3.6703055,0.005628,2.83537837,299515.2516,3.34029047,0.135644,3.31327891,0.181549,2.78032231,93.75397
15000,20,0.2,3000,0.7740501,125.9605,3.4275761,0.005608,2.76586516,183533.9385,3.11750563,0.264378,3.09077859,0.369161,2.38542056,179.762089
15000,50,0.1,1500,0.7329807,165.997,2.9735875,0.012727,2.29791853,201529.9236,2.79253931,0.41554,2.76985812,0.572417,2.32453489,198.599255
15000,50,0.2,3000,0.6499341,245.8596,2.7836871,0.017407,2.25602762,123491.4763,2.62898135,0.748723,2.59827375,1.018462,2.04133081,407.731042
20000,10,0.1,2000,1.0540173,102.7896,4.2426467,0.004667,3.28280527,975191.5111,3.7153397,0.155655,3.67896891,0.216735,3.18165541,69.985652
20000,10,0.2,4000,0.9186878,126.8012,3.8298292,0.005173,3.02928946,597568.03,3.41444152,0.201549,3.37711954,0.269238,2.77439523,165.310129
20000,20,0.1,2000,0.9181052,150.7826,3.7721205,0.010729,2.71903368,722631.4684,3.20757543,0.189003,3.16502047,0.252637,2.80865479,143.228132
20000,20,0.2,4000,0.7907348,191.0972,3.4930766,0.007793,2.63136717,442806.8314,2.97844599,0.177624,2.95042944,0.249266,2.47529149,287.569717
20000,50,0.1,2000,0.7536658,865.491,3.0261548,0.018311,2.28635992,486225.205,2.79156934,0.466817,2.76266551,0.644008,2.39071393,348.889148
20000,50,0.2,4000,0.6594423,1436.1285,2.826694,0.066364,2.24921944,297944.1828,2.61819914,0.479332,2.58579063,0.670353,2.0924201,761.834867
