N,k,outlier_pct,z,oc_correct_r,oc_correct_t
500,10,0.1,50,3.31111741,0.0286
500,10,0.2,100,2.81058168,0.0453
500,20,0.1,50,2.87453914,0.0498
500,20,0.2,100,2.47786236,0.0874
500,50,0.1,50,2.27788353,0.1407
500,50,0.2,100,1.97360134,0.2438
1000,10,0.1,100,3.41841221,0.0807
1000,10,0.2,200,2.8966229,0.1687
1000,20,0.1,100,2.92729759,0.2099
1000,20,0.2,200,2.49432325,0.3826
1000,50,0.1,100,2.40600133,0.5499
1000,50,0.2,200,2.06943297,0.8868
5000,10,0.1,500,2.79328966,1.9103
5000,10,0.2,1000,2.45452189,3.482
5000,20,0.1,500,2.43157315,3.2927
5000,20,0.2,1000,2.1119113,6.4085
5000,50,0.1,500,2.05263972,8.2926
5000,50,0.2,1000,1.74959779,16.4105
10000,10,0.1,1000,2.73508,6.7105
10000,10,0.2,2000,2.31290913,15.305
10000,20,0.1,1000,2.37443709,13.3423
10000,20,0.2,2000,2.01633739,28.4124
10000,50,0.1,1000,1.97925234,34.5445
10000,50,0.2,2000,1.68359327,69.7064
15000,10,0.1,1500,2.92471409,19.7843
15000,10,0.2,3000,2.5125339,40.7668
15000,20,0.1,1500,2.56364703,32.5382
15000,20,0.2,3000,2.20541883,68.2656
15000,50,0.1,1500,2.15703321,82.2112
15000,50,0.2,3000,1.86576581,166.7719
