N,k,outlier_pct,z,oc_radius,oc_time_s
500,10,0.1,50,2.25922346,0.004444
500,10,0.2,100,2.01445198,0.003434
500,20,0.1,50,1.97803164,0.00553
500,20,0.2,100,1.83268559,0.00563
500,50,0.1,50,1.52319157,0.016161
500,50,0.2,100,1.41193807,0.017485
1000,10,0.1,100,2.34424949,0.005131
1000,10,0.2,200,2.15136361,0.005359
1000,20,0.1,100,2.136343,0.009249
1000,20,0.2,200,1.95320249,0.009912
1000,50,0.1,100,1.69951844,0.026748
1000,50,0.2,200,1.57823229,0.029365
5000,10,0.1,500,2.72968411,0.024568
5000,10,0.2,1000,2.48573065,0.025467
5000,20,0.1,500,2.5223763,0.038258
5000,20,0.2,1000,2.32381272,0.048144
5000,50,0.1,500,2.20704842,0.10963
5000,50,0.2,1000,2.06076765,0.16163
10000,10,0.1,1000,2.91867852,0.066114
10000,10,0.2,2000,2.63765717,0.054827
10000,20,0.1,1000,2.77828074,0.107542
10000,20,0.2,2000,2.54095936,0.111937
10000,50,0.1,1000,2.38168335,0.329184
10000,50,0.2,2000,2.21296167,0.42906
15000,10,0.1,1500,3.01890302,0.066222
15000,10,0.2,3000,2.69962382,0.078858
15000,20,0.1,1500,2.84227562,0.141572
15000,20,0.2,3000,2.57339931,0.139483
15000,50,0.1,1500,2.55378246,0.382993
15000,50,0.2,3000,2.37265134,0.50806
20000,10,0.1,2000,3.12290406,0.107585
20000,10,0.2,4000,2.77068233,0.111851
20000,20,0.1,2000,2.92104793,0.224784
20000,20,0.2,4000,2.62868667,0.235759
20000,50,0.1,2000,2.55573678,0.729543
20000,50,0.2,4000,2.35371518,0.744019
