dataset,N,k,z,outlier_pct,oc_r,D_kz1,LB,cert_ratio,LP_Radius,lp_ratio,cert_tightness
adult,500,10,50,0.1,2.1075148582458496,1.7024635778470691,0.8512317889235346,2.4758413462342697,1.781567314,1.1829555031036283,0.47779939732523324
adult,500,10,100,0.2,1.7086552381515503,1.208661888710873,0.6043309443554366,2.8273502360101004,1.454164603,1.1750081349982842,0.4155863394753782
adult,500,20,50,0.1,1.7912510633468628,1.6027939144299757,0.8013969572149878,2.2351607991772426,1.396085515,1.2830525380437479,0.5740314247261479
adult,500,20,100,0.2,1.3645881414413452,1.1328485775836097,0.5664242887918048,2.4091271657012467,1.190512775,1.146218814360346,0.4757817813351939
adult,500,50,50,0.1,1.3303179740905762,1.2700704743548668,0.6350352371774334,2.0948726877007546,1.044301669,1.273882838245829,0.6080955877294815
adult,500,50,100,0.2,1.0498783588409424,0.9811129154905729,0.49055645774528644,2.1401784489117355,0.8614662725,1.2187109261911846,0.5694436026168238
adult,1000,10,100,0.1,2.116579055786133,1.454777274462311,0.7273886372311555,2.9098324436892584,1.803763113,1.1734240713382038,0.4032617320915108
adult,1000,10,200,0.2,1.6831718683242798,1.0132396232794374,0.5066198116397187,3.322356981809592,1.47758163,1.1391396821333517,0.3428709462500009
adult,1000,20,100,0.1,1.7294257879257202,1.4060723868290181,0.7030361934145091,2.4599384841429544,1.460662755,1.1840007435020279,0.48131315117602835
adult,1000,20,200,0.2,1.3958345651626587,0.9770177979277286,0.4885088989638643,2.8573370272747285,1.195066574,1.1679973279569433,0.408771284873929
adult,1000,50,100,0.1,1.3786269426345823,1.2197323318386522,0.6098661659193261,2.2605401310571294,1.107916988,1.2443413699461952,0.5504619682926336
adult,1000,50,200,0.2,1.0622650384902954,0.8914284211356966,0.4457142105678483,2.383287347147738,0.890149018,1.193356412252196,0.500718645479479
adult,2000,10,200,0.1,2.042212724685669,1.1889819036106994,0.5944909518053497,3.435229280586826,1.801004735,1.133929681026446,0.33008850018673036
adult,2000,10,400,0.2,1.656419277191162,0.8465240286487173,0.42326201432435867,3.913460743306384,1.477757284,1.1209007697851159,0.2864218765199865
adult,2000,20,200,0.1,1.6961653232574463,1.1646142687662662,0.5823071343831331,2.9128362389965883,1.458563794,1.1629010196433316,0.3992332298241136
adult,2000,20,400,0.2,1.3324377536773682,0.8314097936365492,0.4157048968182746,3.205249117524452,1.207354204,1.1036013700560803,0.3443106384531002
adult,2000,50,200,0.1,1.36298930644989,1.089761843213681,0.5448809216068405,2.501444356742144,1.107394906,1.2308069136538813,0.49203849381517795
adult,2000,50,400,0.2,1.0425019264221191,0.7907300897480302,0.3953650448740151,2.636808539192728,0.908636899,1.1473251059575549,0.4351188525461974
adult,5000,10,500,0.1,2.049192428588867,0.9902884759768462,0.4951442379884231,4.1385767446551185,1.821315348,1.1251167629148355,0.2718607947449324
adult,5000,10,1000,0.2,1.6597108840942385,0.6640354963093413,0.33201774815467067,4.998861938311386,1.499017291,1.1071992925358716,0.22149027242586403
adult,5000,20,500,0.1,1.7145898342132568,0.979061007565103,0.4895305037825515,3.5025188848596747,1.498401844,1.1442790470920274,0.3267017494290747
adult,5000,20,1000,0.2,1.379342794418335,0.6597824768229779,0.32989123841148893,4.181204693583936,1.232265063,1.1193555963197301,0.2677112646595328
adult,5000,50,500,0.1,1.3671164512634275,0.9571266734083833,0.47856333670419166,2.8567095437744867,1.157118612,1.1814834167263635,0.4135819195553581
adult,5000,50,1000,0.2,1.0621551275253296,0.6494046510724358,0.3247023255362179,3.2711657539602523,0.938812787,1.1313811893417782,0.3458648305950459
adult,10000,10,1000,0.1,2.0540692806243896,0.8413142272071784,0.4206571136035892,4.883001414211348,1.842761,1.1146693904550777,0.22827545927203213
adult,10000,10,2000,0.2,1.6690576076507568,0.5651951047843601,0.28259755239218004,5.906129028798136,1.500199163,1.1125573515939609,0.18837335692619636
adult,10000,20,1000,0.1,1.7356728315353394,0.8381543933239823,0.41907719666199117,4.141654199656335,1.518918293,1.142703224745045,0.2759050296472999
adult,10000,20,2000,0.2,1.3606152534484863,0.5636955314745843,0.28184776573729214,4.827482843049053,1.232119913,1.1042880153893644,0.22875027240736767
adult,10000,50,1000,0.1,1.3598947525024414,0.8279250958975646,0.4139625479487823,3.2850671135367904,1.181366098,1.1511205161589473,0.3504100453276951
adult,10000,50,2000,0.2,1.0631093978881836,0.5575739211519471,0.2787869605759736,3.8133397476402795,0.942809407,1.1275973595458446,0.2956981108865554
adult,20000,10,2000,0.1,2.0057618618011475,0.6924398682468623,0.34621993412343116,5.79331709157472,1.792315,1.1190900381914715,0.1931691327269097
adult,20000,10,4000,0.2,1.6653740406036377,0.47513606965985167,0.23756803482992583,7.010093095209014,1.468204,1.1342933547406475,0.16180860073254522
adult,20000,20,2000,0.1,1.706629991531372,0.6911841564636753,0.34559207823183763,4.9382786789067925,1.472006,1.1593906489045371,0.2347762700911801
adult,20000,20,4000,0.2,1.360135555267334,0.47445712114965943,0.23722856057482972,5.733439312583538,1.221534,1.1134651636936295,0.19420545033935177
adult,20000,50,2000,0.1,1.3467292785644531,0.6863725414350932,0.3431862707175466,3.9241933418509474,1.110284,1.2129592775942488,0.3090977360004707
adult,20000,50,4000,0.2,1.0599356889724731,0.47277515648566,0.23638757824283,4.483889114865631,0.950262412,1.1154136747781551,0.24876031636914836
