O,count,mean,std,min,25%,50%,75%,max
1,60.0,2.8022,1.2503,1.3065,1.8947,2.4172,3.2272,7.5347
5,60.0,2.6112,1.1425,1.2851,1.7921,2.2495,2.9787,7.0397
10,60.0,2.4277,1.0084,1.2438,1.7024,2.184,2.8216,6.0244
20,60.0,2.1757,0.862,1.1917,1.5296,1.9498,2.5945,5.0863
50,60.0,1.7396,0.6719,1.0,1.2428,1.5708,2.1411,3.744
100,60.0,1.4049,0.5678,0.7068,1.0,1.2826,1.747,2.9905
150,60.0,1.2025,0.5113,0.5455,0.8055,1.1151,1.5246,2.5641
200,60.0,1.0681,0.4724,0.4202,0.7112,1.0,1.3802,2.2462
300,60.0,0.8823,0.4298,0.2828,0.5379,0.7919,1.1868,1.874
500,42.0,0.8362,0.3489,0.3461,0.5299,0.7504,1.0,1.4913
